Category,Feature,Description
Growth Features,yoy_growth,Engineered feature in growth features
Growth Features,growth_3y,Engineered feature in growth features
Growth Features,growth_5y,Engineered feature in growth features
Growth Features,growth_10y,Engineered feature in growth features
Growth Features,cagr_5y,Engineered feature in growth features
Trend Features,ma_3y,Engineered feature in trend features
Trend Features,ma_5y,Engineered feature in trend features
Trend Features,ma_10y,Engineered feature in trend features
Trend Features,trend_vs_ma3,Engineered feature in trend features
Trend Features,trend_vs_ma5,Engineered feature in trend features
Trend Features,trend_vs_ma10,Engineered feature in trend features
Trend Features,ma5_slope,Engineered feature in trend features
Volatility Features,volatility_5y,Engineered feature in volatility features
Volatility Features,cv_growth_5y,Engineered feature in volatility features
Volatility Features,gdp_volatility_5y,Engineered feature in volatility features
Volatility Features,risk_adjusted_performance,Engineered feature in volatility features
Volatility Features,max_drawdown_5y,Engineered feature in volatility features
Cycle Features,in_recession,Engineered feature in cycle features
Cycle Features,in_recovery,Engineered feature in cycle features
Cycle Features,economic_phase,Engineered feature in cycle features
Cycle Features,crisis_year,Engineered feature in cycle features
Cycle Features,years_since_recession,Engineered feature in cycle features
Relative Features,gdp_vs_world,Engineered feature in relative features
Relative Features,gdp_vs_continent,Engineered feature in relative features
Relative Features,growth_vs_world,Engineered feature in relative features
Relative Features,world_percentile,Engineered feature in relative features
Relative Features,continent_percentile,Engineered feature in relative features
Relative Features,income_classification,Engineered feature in relative features
